221,acetylsalicylic acid,4 g,
221,phenolphthalein solution,(0.5%) 30 mL,
221,potassium bisulfate,4 g,
221,potassium bitartrate,4 g,
221,potassium hydrogen phthalate,4 g,
221,"potassium phosphate, monobasic",4 g,
221,sodium hydroxide solution,(0.1 M) 250 mL,
221,sodium chloride,(1 M) 150 mL,
221,zinc strips,2 x pkg of 5,
221,zinc nitrate solution,(1 M) 190 mL,
221,iron,(3 in. nails) 12,
221,iron(III) nitrate,50 g,
221,nitric acid solution,(1 M) 2 x 500 mL,
221,copper sheet,3 x 12 in.,
221,copper(II) nitrate solution,(1 M) 100mL,
221,iron(III) nitrate solution,(1 M) 100 mL,
221,lead foil,3 x 12 in.,
221,lead nitrate solution,(1 M) 100 mL,
221,magnesium ribbon,pkg of 15,
221,magnesium nitrate solution,(1 M) 100 mL,
221,potassium nitrate solution,(1 M) 2 x 100 mL,
221,silver foil,5 g,
221,silver nitrate solution,(1 M) 100 mL,
221,crystal violet solution,(1%) 3 x 25 mL,
221,malachite green solution,(1%) 3 x 25 mL,
221,phenolphthalein solution,(1%) 3 x 30 mL,
221,sodium hydroxide solution,(0.02 M) 3 x 500 mL,
221,copper(II) bromide solution,(0.2 M) 150 mL,
221,phenolphthalein solution,(0.5%) 20 mL,
221,potassium iodide solution,(0.5 M) 150 mL,
221,sodium chloride solution,(0.5 M) 150 mL,
221,sodium thiosulfate,(50%) 250 mL,
221,starch solution,(0.5%) 30 mL,
221,adipic acid,2 x 20 g,
221,aluminum,(granular) 2 x 20 g,
221,calcium carbonate,2 x 25 g,
221,copper(II) sulfate pentahydrate,2 x 25 g,
221,d-glucose monohydrate,2 x 20 g,
221,dodecyl alcohol,2 x 20 g,
221,"ethanol, anhydrous",(95%) 2 x 250 mL,
221,glycine,2 x 20 g,
221,graphite,2 x 20 g,
221,hexane,2 x 250 mL,
221,hydrochloric acid solution,(0.1 M) 2 x 250 mL,
221,iron powder,2 x 20 g,
221,iron(III) oxide,2 x 20 g,
221,paraffin wax,2 x 20 g,
221,potassium nitrate,2 x 20 g,
221,salicylic acid,2 x 20 g,
221,silicon,Â (lumps) 2 x 20 g,
221,sodium carbonate,2 x 20 g,
221,sodium hydroxide solution,(0.1 M) 2 x 250 mL,
221,zinc,(granular) 2 x 20 g,
221,copper wire,(18-gauge) 6 feet,
221,hydrochloric acid,(2 M) 500 mL,
221,magnesium ribbon,6 feet,
221,stoppers,(rubber size #00) pkg of 12,
221,fd&c #1 blue dye,2 g,
221,fd&c #3 red dye,1 g,
221,sodium hypochlorite solution,475 mL,
221,ammonium chloride solution,(2 M) 2 x 500 mL,
221,ammonium hydroxide solution,(2 M) 2 x 500 mL,
221,hydrochloric acid,(2 M) 3 x 500 mL,
221,sodium hydroxide solution,(2 M) 3 x 500 mL,
221,polystyrene,(cups) 30 x 8 oz,
221,acetic acid solution,(0.1 M) 2 x 500 mL,
221,ammonium chloride buffer,(pH 9.26) 3 x 500 mL,
221,hydrochloric acid solution,(0.2 M) 400 mL,
221,sodium acetate solution,(0.1 M) 2 x 500 mL,
221,sodium hydroxide solution,(0.2 M) 2 x 200 mL,
221,iron(III) nitrate solution,(1.0 M) 100 mL,
221,lead foil,3 x 12 in.,
221,lead nitrate solution,(1 M) 100 mL,
221,magnesium metal ribbon,(1 in. pieces) pkg of 15,
221,magnesium nitrate solution,(1.0 M) 100 mL,
221,potassium nitrate solution,(1.0 M) 2 x 100 mL,
221,silver foil,5 g,
221,silver nitrate solution,(1.0 M) 100 mL,
221,zinc strips,2 x pkg of 5,
221,zinc nitrate solution,(1.0 M) 100 mL,
217,4-nitroacetanilide,"1 x 100 g, 2 x 25 g",blue
217,barium chloride,"5 x 1 lb, 8 x 100 g, 1 kg",blue
217,barium hydroxide,2 x 500 g,blue
217,calcium fluoride,1 lb,blue
217,calcium oxide,5 lbs,blue
217,hydroxylammonium chloride,1 lb,blue
217,methylene blue,25 g,blue
217,"1,4-dichlorobenzene",500 g,blue
217,potassium chromate,4 x 1 lb,blue
217,potassium oxalate,3 x 500 g,blue
217,salicylic acid,1 lb,blue
217,sodium bisulfate,3 x 500 g,blue
217,sodium chromate,1 lb,blue
217,sodium oxalate,2 x 1 lb,blue
217,stannic chloride,25 g,blue
217,stannous chloride,25 g,blue
217,zinc chloride,5 x 500 g,blue
217,aluminum chloride,3 x 1/4 lb,gray
217,aluminum hydroxide,2 x 500 g,gray
217,aluminum pellets,12 bottles,gray
217,aluminum potassium sulfate,"2 kg, 1 l b",gray
217,aluminum shot,9 bottles,gray
217,aluminum sulfate,3 x 1 lb,gray
217,ammonium chloride,"3 x 500 g, 1 lb",gray
217,ammonium oxalate,1 lb.,gray
217,ammonium thiocyanate,3 x 500 g,gray
217,barium sulfate,500 g,gray
217,benzoic acid,"500 g, 2 x 25 g",gray
217,benzophenone,2 x 100 g,gray
217,boric acid,2 x 1 lb,gray
217,calcium acetate,2 x 1 lb,gray
217,calcium carbonate,10 x 1 lb,gray
217,calcium chloride,"2 x 500 g, 6 x 100g",gray
217,calcium hydroxide,10 x 1 lb,gray
217,citric acid,13 x 500 g,gray
217,cobalt chloride,"4 x 100 g, 500g",gray
217,copper shot,11 x 1 lb,gray
217,cupric acetate,1 lb,gray
217,cupric chloride,2 x 1 lb,gray
217,cupric sulfate,"anhydrous, 1 lb",gray
217,cupric sulfate pentahydrate,"3x 500 g, 11 x 100 g, 1 x 2 kg",gray
217,cuprous chloride,1 lb,gray
217,ferric ammonium citrate,"3 x 2.5 kg, 500 g",gray
217,ferric chloride,"5x 1 lb, 2 x 100 g",gray
217,ferrous sulfate,3 x 1 lb,gray
217,fluorescein,12 x 100 g,gray
217,fumaric acid,1 lb,gray
217,iron filings,3 x 1 lb,gray
217,lauric acid,2 x 500 g,gray
217,lead shot,2 x 500 g,gray
217,lithium chloride,"2 x 100 g, 9 x 50 g",gray
217,lycopodium,500 g,gray
217,magnesium sulfate,2 x 1 lb,gray
217,maleic acid,500g,gray
217,magnesium hydroxide,100 g,gray
217,manganese dioxide,"6 x 1 lb, 6 x 100 g",gray
217,manganese sulfate,500g,gray
217,nickel shot,1/4 lb,gray
217,phenolphthalein,2 x 1 lb (solid),gray
217,potassium bisulfate,3 x 100 g,blue
217,potassium bitartrate,100 g,gray
217,potassium bromide,"500 g, 2 x 100 g",gray
217,potassium chloride,"3 x 1 lb, 10 x 100 g",gray
217,potassium ferricyanide,"4 x 1 lb, 4 1 lb, 3 x 500 g",gray
217,potassium ferrocyanide,2 x 1 lb,gray
217,potassium hydrogen phthalate,2 x 500 g,gray
217,potassium iodide,2 x 1 lb.,gray
217,"potassium phosphate, dibasic",500 g,gray
217,"potassium phosphate, monobasic",500 g,gray
217,potassium sodium tartrate,6 x 500 g,gray
217,potassium thiocyanate,4 x 1 lb,gray
217,sodium acetate,"3 x 1 lb, 3 x 500 g, 3 x 100 g",gray
217,sodium bicarbonate,"4 x 500 g, 2 x 1 kg. 1 x 2 kg",gray
217,sodium bisulfite,4 x 500 g,gray
217,sodium borate,2 x 500 g,gray
217,sodium bromide,100 g,gray
217,sodium carbonate,"2 x 500 g, 2. 5 kg",gray
217,sodium chloride,"3 x 2.5 kg, 500 g, 18 x 100 g",gray
217,sodium citrate,100 g,gray
217,sodium fluoride,100 g,gray
217,sodium iodide,4 x 100 g,gray
217,sodium phosphate,3 x 100 g,gray
217,sodium polyacrylate,500 g,gray
217,sodium salicylate,100 g,gray
217,sodium sulfate,5 x 1 lb,gray
217,sodium sulfite,6 x 1 lb,gray
217,sodium thiocyanate,1 lb,gray
217,sodium thiosulfate anhydrous,3 x 500 g,gray
217,sodium thiosulfate pentahydrate,"2 x 500 g, 11 x 100 g",gray
217,stearic acid,5 x 1 lb,gray
217,strontium chloride,"3 x 500g , 8 x 100 g",gray
217,sulfur,"2 x 2.5 kg, 100 g",gray
217,tartaric acid,2 x 500 g,gray
217,tin,"2 x 1 lb, 2 x 500 g",gray
217,urea,5 x 500 g,gray
217,zinc,"18 x 1 lb, 2 kg",gray
217,zinc carbonate,1 lb.,gray
217,zinc sulfate,"500 g, 6 x 100 g",gray
217,zinc sulfide,25 g,gray
217,1-dodecanol,1 L,red
217,acetone,2 x 4 L,red
217,calcium metal,2 x 100 g,red
217,ethyl alcohol,"14 x 500 mL, 1 L",red
217,ethylene glycol,2 x 500 mL,red
217,hexanes,3 x 500 mL,red
217,isopropanol,"4 x 500 mL,",red
217,magnesium ribbon,"2 x 25 g, 9 rolls",red
217,methyl alcohol,6 x 500 mL,red
217,naphthalene,3 x 500 g,red
217,n-propanol,5 x 1 pt,red
217,petroleum ether,500 mL,red
217,phenolphthalein,6 x 500 g,red
217,2-propanol,"70%, 10 x 1 qt (rubbing alcohol)",red
217,tert-butyl alcohol,3 x 1 pt,red
217,thermit,2 x 4 oz.,red
217,zinc dust,2 x 500g,red
217,hydrogen peroxide,"3%, 25 x 1 pint",white
217,hydrogen peroxide,"30%, 10 x 500 mL",white
217,ammonium hydroxide,4 x 500 mL,white
217,glacial acetic acid,2 x 2.5 L,white
217,hydrochloric acid,"12 M, 16 x 500 mL",white
217,phosphoric acid,500 mL,white
217,potassium hydroxide,4 x 500 g,white
217,sodium hydroxide,7 x 500 g,white
217,sodium hydroxide,"50%, 2 x 500 mL",white
217,sulfuric acid,"18 M, 7 x 500 mL",white
217,aluminum nitrate,1 lb,yellow
217,ammonium dichromate,2 x 1 lb,yellow
217,ammonium molybdate,1/4 lb,yellow
217,ammonium nitrate,"3 x 500 g, 100 g",yellow
217,barium nitrate,2 x 1 lb,yellow
217,calcium nitrate,5 x 500 g,yellow
217,cupric nitrate,"500 g, 100 g",yellow
217,ferric nitrate,5 x 500 g,yellow
217,lead nitrate,2 x 500 g,yellow
217,lithium nitrate,1 lb,yellow
217,potassium chlorate,"3 x 500 g, 2 x 100 g",yellow
217,potassium dichromate,2 x 1 lb,yellow
217,potassium iodate,7 x 100 g,yellow
217,potassium nitrate,"23 x 100 g, 2 x 2 kg",yellow
217,potassium permanganate,"6 x 1 lb, 3 x 100 g",yellow
217,silver nitrate,2 x 100 g (solution),yellow
217,silver nitrate,500 mL (solid),yellow
217,sodium borate,6 x 500 g,yellow
217,sodium chlorate,3 x 1 lb,yellow
217,sodium dichromate,1 lb,yellow
217,sodium nitrate,1 lb,yellow
217,sodium nitrite,1 lb,yellow
217,strontium nitrate,"9 x 1 lb, 2 x 500 g",yellow
217,zinc nitrate,3 x 500 g,yellow
Fan,aluminum shot,18 x 1 lb,gray
Fan,calcium hydroxide,7 x 1 lb,gray
Fan,graphite powder,1 lb (carbon),gray
Fan,carbon dioxide gas,1 tank,gray
Fan,cobalt chloride,1 lb,gray
Fan,copper shot,"5 lbs, 12 x 1 lb",gray
Fan,cupric chloride,2 x 1 lb,gray
Fan,cupric oxide,25 g,gray
Fan,ethidium bromide,2 x 1 ea.,gray
Fan,ferrous chloride,1/4 lb,gray
Fan,ferrous sulfate,2 x 1 lb,gray
Fan,fluorescein,4 x 1 lb,gray
Fan,helium,9 lecture-sized cylinders (gas),gray
Fan,iodine,16 x 1/4 lb,gray
Fan,iron filings,2 x 1 lb,gray
Fan,magnesium sulfate,1 lb,gray
Fan,manganese dioxide,3 x 1 lb,gray
Fan,potassium bitartrate,2 x 1 lb,gray
Fan,potassium bisulfite,1 lb,gray
Fan,potassium bromide,1 lb,gray
Fan,potassium iodide,"5 lbs, 3 x 1 lb",gray
Fan,potassium sulfate,4 x 1 lb,gray
Fan,potassium thiocyanate,1 lb,gray
Fan,polyvinyl alcohol,11 x 500 g,gray
Fan,sodium bicarbonate,4 x 2 kg,gray
Fan,sodium carbonate,4 x 500 g,gray
Fan,sodium iodide,2 x 1 lb,gray
Fan,sodium phosphate,3 x 1 lb,gray
Fan,sodium thiosulfate,1 lb,gray
Fan,stearic acid,2 x 500 g,gray
Fan,strontium chloride,2 x 1 lb,gray
Fan,sulfur,2 x 5 lbs,gray
Fan,zinc,5 x 1 lb,gray
Fan,zinc carbonate,1 lb,gray
Fan,zinc oxide,2 x 1 lb,gray
Fan,zinc sulfate,2 x 1 lb,gray
Fan,acetone,3 x 4 L,red
Fan,aluminum powder,500 g,red
Fan,ethanol,16 x 500 mL,red
Fan,hexanes,2 x 500 mL,red
Fan,hydrogen gas,12 lecture-sized cylinders,red
Fan,isopropanol,"3 x 500 mL, 4 x 1 gallon",red
Fan,lycopodium,500 g,red
Fan,magnesium ribbon,"1 envelope, 2 rolls",red
Fan,petroleum ether,3 x 500 mL,red
Fan,phenol,500 g,red
Fan,sodium metal,3 x 1 lb,red
Fan,thermit kit,1 ea.,red
Fan,nitric acid,500 mL,white
Fan,potassium permanganate,2 x 1 lb,yellow
Fan,sodium nitrate,1 lb,yellow
231,2-mercaptoethanol,25 mL,red
231,acetone,1 gal,red
231,ethanol,"2 x 4 L, 4 x 500 mL, 1 L, 2 x 250 mL",red
231,ethyl acetate,100 mL,red
231,hexanes,4 x 250 mL,red
231,isopropanol,6 x 500 mL,red
231,methanol,"500 mL, 100 mL",red
231,n-butanol,210 mL,red
231,ninhydrin,4 g (solid),red
231,ninhydrin,6 x 500 mL (solution),red
231,toluene,2 x 100 mL,red
231,DMSO,100 mL,red
